age,income,employment_type,marital_status,time_spent_on_platform,number_of_sessions,fields_filled_percentage,previous_year_filing,device_type,referral_source,completed_filing
41,64386,unemployed,married,94.03122633603911,9,0.4269729736008137,0,desktop,friend_referral,0
43,66287,part_time,single,93.62472622267495,13,0.7698508575507014,1,mobile,social_media_ad,1
42,106724,contractor,married,105.50837670740428,14,0.6274987418697472,0,tablet,friend_referral,1
62,118132,full_time,single,90.76072968163271,14,0.7006188754081033,0,tablet,social_media_ad,1
58,113308,unemployed,single,125.99217049217609,8,0.7169072895872126,0,mobile,social_media_ad,1
46,116393,full_time,single,101.75370786125156,14,0.8626276584804123,0,desktop,organic_search,1
32,96312,part_time,divorced,120.35128903394126,11,0.7342075118637633,1,tablet,organic_search,1
62,118371,part_time,divorced,104.15852689993335,4,0.7558513768750659,1,desktop,organic_search,1
18,95324,part_time,divorced,117.39669998348677,10,0.5997471062630857,0,tablet,organic_search,1
42,91196,full_time,married,126.9101950349295,15,0.4755671786705653,0,mobile,organic_search,1
24,90014,part_time,divorced,133.61859664531397,10,0.8096394000530993,0,tablet,social_media_ad,1
26,28210,unemployed,divorced,109.81893375240541,9,0.400289284287071,0,mobile,organic_search,1
41,30922,contractor,married,82.66905828717859,11,0.5972303016942215,0,mobile,organic_search,0
18,56289,contractor,married,96.54835464943112,9,0.5308263726547959,0,mobile,organic_search,1
61,53340,unemployed,single,99.4772426144408,18,0.6331200644536765,1,tablet,social_media_ad,1
25,59850,contractor,married,88.53582323842787,8,0.5867608162382953,0,desktop,friend_referral,1
41,76984,full_time,married,85.19691553992897,22,0.8225302478513554,1,desktop,friend_referral,1
28,104178,part_time,divorced,103.4900113842082,11,0.5561236303518619,0,tablet,organic_search,1
34,31094,part_time,single,80.33384723784538,7,0.7364502073524775,0,mobile,friend_referral,1
25,107959,part_time,single,76.45199018654814,4,0.6734622580347618,1,desktop,social_media_ad,1
52,53418,full_time,married,66.1112833708329,11,0.8806345032013136,0,desktop,organic_search,1
52,25741,full_time,divorced,109.6067338967083,11,0.6568554927172995,0,tablet,social_media_ad,1
50,92374,full_time,divorced,106.82495956295953,8,0.9183256467589378,1,mobile,social_media_ad,1
22,88798,unemployed,divorced,93.5064899352033,9,0.40008746056435185,0,desktop,organic_search,1
59,90532,full_time,divorced,119.88462551537303,12,0.7629018131233899,0,tablet,social_media_ad,1
56,42164,contractor,married,80.02381285355895,15,0.40588419612049836,0,tablet,organic_search,1
58,55595,unemployed,divorced,107.61748214643782,9,0.8283605940060847,0,mobile,social_media_ad,1
45,50257,unemployed,single,101.08326720870959,11,0.540953441096925,0,tablet,friend_referral,0
24,34211,unemployed,single,85.18639322654455,9,0.6279887510638776,1,mobile,friend_referral,1
26,115989,full_time,married,90.14915140406991,10,0.6282625085641023,0,desktop,friend_referral,1
25,25232,unemployed,divorced,88.61008039891115,14,0.907853451015935,1,tablet,social_media_ad,1
29,87753,full_time,divorced,105.05507938122892,6,0.4612556565357726,1,desktop,organic_search,1
51,72691,full_time,divorced,111.86857747311106,15,0.8001381720101575,1,mobile,friend_referral,1
50,109765,unemployed,divorced,91.47212336970811,8,0.9887540975165223,1,mobile,organic_search,1
65,99768,part_time,married,85.75790951764722,8,0.4134306574825662,1,mobile,friend_referral,1
40,45613,part_time,divorced,102.74444257053514,17,0.9795365192570897,0,tablet,friend_referral,0
41,34026,unemployed,married,66.9649766498309,9,0.4110428373661238,0,tablet,social_media_ad,1
54,73535,part_time,divorced,100.68714932884542,10,0.9046896750754375,0,tablet,friend_referral,1
52,114090,contractor,divorced,131.23550969043373,7,0.9767466517954655,1,desktop,organic_search,1
61,50908,contractor,single,85.92073459574038,9,0.99581642936315,0,desktop,organic_search,1
57,72113,full_time,married,96.46289679850102,10,0.6754728045823313,1,tablet,friend_referral,1
39,39610,part_time,single,120.49123498604891,12,0.9201745037501263,0,desktop,organic_search,1
44,66646,contractor,married,115.09346682150297,10,0.473403725817763,1,mobile,organic_search,1
52,83185,unemployed,divorced,101.23678163449702,13,0.6552306031685569,1,tablet,organic_search,0
18,92567,part_time,divorced,98.82942947873116,15,0.584784985709816,1,mobile,organic_search,1
52,67574,contractor,married,75.28884849263673,9,0.6371062303642472,1,mobile,organic_search,1
54,111051,contractor,single,109.823056417956,8,0.8211885113586354,1,mobile,friend_referral,1
64,56182,unemployed,married,73.13249975177193,15,0.4524881200256532,0,desktop,organic_search,1
31,20570,full_time,married,58.696302557576196,16,0.9988983761971779,1,mobile,organic_search,1
20,117790,unemployed,divorced,120.1620613889987,10,0.7810402954221518,0,desktop,friend_referral,1
18,39288,full_time,single,107.73972596786221,8,0.9241105519433572,1,mobile,social_media_ad,1
22,98824,contractor,married,117.59471390115728,11,0.8978173391432674,0,tablet,organic_search,1
43,49877,full_time,single,85.26980692130685,10,0.8595985264232838,0,mobile,social_media_ad,1
31,104425,contractor,single,109.32727932351197,12,0.4235341186744497,1,mobile,social_media_ad,1
56,20917,contractor,married,91.21864202734241,12,0.7098802459501241,1,tablet,friend_referral,1
44,95602,part_time,single,93.45514694076502,7,0.5968890257287041,0,desktop,social_media_ad,1
26,115040,full_time,divorced,119.47508248379137,3,0.46776346949310416,0,tablet,social_media_ad,0
32,84575,full_time,divorced,97.00417413597208,12,0.605794123851942,1,mobile,social_media_ad,1
32,92518,full_time,divorced,86.07228415814367,11,0.7868818223849094,0,mobile,friend_referral,1
43,59104,unemployed,divorced,72.68963155776899,8,0.5383758571732865,0,desktop,organic_search,1
59,38062,part_time,single,107.21378751720928,12,0.6667572575335278,0,mobile,friend_referral,0
30,36999,part_time,divorced,121.18952334853685,12,0.6426965461771902,0,mobile,friend_referral,1
49,81845,part_time,married,84.3374321989996,10,0.4314777776838467,0,desktop,friend_referral,1
56,29941,unemployed,divorced,113.7795786941848,9,0.7768495176296805,0,desktop,organic_search,1
49,81169,full_time,married,81.14442702533047,10,0.7713081413755203,0,desktop,social_media_ad,1
21,43470,full_time,married,114.98604606591971,9,0.9798487031482028,1,desktop,organic_search,1
47,79821,full_time,divorced,100.65828929322913,11,0.5788031299788863,1,mobile,social_media_ad,1
54,106669,part_time,divorced,105.3567234512636,12,0.6513706171852125,1,desktop,organic_search,1
40,64435,part_time,single,86.05179303375445,12,0.6421825734096479,1,desktop,friend_referral,1
56,24529,contractor,married,107.151017269737,10,0.9518463405914672,0,mobile,friend_referral,1
62,103055,unemployed,divorced,88.04625517330716,11,0.6451895892335628,0,desktop,social_media_ad,1
32,32192,unemployed,single,91.72653015730117,9,0.6656584865235753,1,mobile,friend_referral,1
60,94102,part_time,divorced,69.64744706904312,18,0.551406720515048,0,desktop,friend_referral,1
46,92762,contractor,divorced,84.556956782964,11,0.40070088785442864,0,desktop,organic_search,0
53,106795,full_time,divorced,89.49009394150933,12,0.4662704028252205,0,tablet,social_media_ad,1
30,54087,part_time,married,106.25619025277477,12,0.8223334908563853,0,mobile,organic_search,1
49,86677,unemployed,divorced,111.91311551155749,13,0.8094973560253856,0,desktop,organic_search,1
24,24627,unemployed,single,87.84136447155817,8,0.5935183437069227,0,tablet,friend_referral,0
39,76541,unemployed,divorced,96.7111092354213,15,0.6838037366481854,1,tablet,organic_search,1
45,88226,full_time,divorced,133.727705289222,9,0.5784270360281898,0,mobile,social_media_ad,1
19,23255,unemployed,single,102.6221712616967,9,0.838549833134737,0,tablet,friend_referral,1
59,77433,full_time,single,89.26215111192195,13,0.9054996100638429,0,mobile,social_media_ad,1
62,25213,full_time,married,66.40702479621416,9,0.9394631755932852,1,tablet,social_media_ad,1
23,39404,full_time,married,82.92154973261546,17,0.5043227928526726,1,mobile,social_media_ad,1
45,45380,part_time,married,82.14260763845681,14,0.8170100451007319,0,desktop,social_media_ad,1
45,111056,full_time,married,139.55747440800758,13,0.9778028062783537,0,mobile,organic_search,1
61,39173,contractor,single,83.03084955414019,11,0.7903670224787784,0,tablet,friend_referral,1
61,73027,unemployed,divorced,101.02085856676491,12,0.6105844861606655,0,mobile,organic_search,1
37,43989,part_time,divorced,107.4151511775775,12,0.7815678194804189,0,desktop,friend_referral,1
47,44519,unemployed,divorced,122.13049850037831,11,0.8130556313925604,0,desktop,organic_search,0
28,42439,full_time,married,100.16048483718535,6,0.6382283799162367,0,tablet,friend_referral,0
45,96949,part_time,single,89.79370984798602,12,0.4623945703287166,0,tablet,social_media_ad,1
42,34995,contractor,single,88.46926896840232,15,0.763995920512134,0,tablet,social_media_ad,1
56,43559,full_time,single,107.12759985359646,12,0.881284480310036,0,desktop,organic_search,1
50,109049,unemployed,divorced,86.31321084920356,12,0.9985458902536353,1,desktop,organic_search,1
18,25021,contractor,married,77.9163771452247,12,0.5338349841777652,1,tablet,social_media_ad,1
44,118000,full_time,single,89.78991356339202,9,0.820233384509041,0,desktop,organic_search,1
30,41119,contractor,married,73.51031317594686,5,0.4168259200996442,0,desktop,organic_search,1
58,71539,full_time,single,137.01233169041197,8,0.9818951678486866,1,tablet,friend_referral,1
20,114835,part_time,married,111.93105420142754,14,0.4075386769146283,1,desktop,friend_referral,1
56,59350,full_time,single,132.41687686829135,9,0.6152769769832269,1,tablet,friend_referral,1
23,66223,part_time,married,109.70872073480977,9,0.44584166378573936,0,desktop,organic_search,1
25,45517,full_time,single,130.49186060085128,8,0.7725807769648414,0,mobile,social_media_ad,1
44,98653,full_time,single,107.34929328111832,6,0.6036998773648141,1,mobile,social_media_ad,1
26,42250,unemployed,married,114.52362641990672,11,0.8397663587982762,0,desktop,social_media_ad,1
54,104486,contractor,married,57.32561946917636,9,0.6918268400008312,1,desktop,social_media_ad,1
50,102895,contractor,divorced,81.71340806047621,9,0.651642049811179,1,mobile,friend_referral,1
59,109132,contractor,married,100.73855550511944,10,0.6091098094688752,1,tablet,friend_referral,1
61,111066,full_time,single,101.22375529579777,5,0.4516775002087915,1,tablet,organic_search,1
41,86798,full_time,single,98.47237962654329,14,0.5228949116075289,0,mobile,social_media_ad,1
32,74199,full_time,married,109.05990554181406,12,0.7834615029930914,0,tablet,organic_search,0
49,79546,part_time,divorced,109.88405875859961,9,0.6980510011232572,0,tablet,social_media_ad,1
49,108151,part_time,married,117.30231634175679,11,0.44205367096333575,1,mobile,social_media_ad,1
41,23327,unemployed,single,113.37987042208276,16,0.7263710305839128,0,mobile,organic_search,1
58,49768,full_time,single,124.08174799154989,13,0.43248559686944976,0,desktop,friend_referral,1
29,84418,contractor,divorced,124.24467234852955,6,0.707036168511993,1,mobile,organic_search,1
56,114386,contractor,married,103.49328897750729,14,0.9789768681393335,0,mobile,organic_search,1
19,62788,unemployed,single,141.6329757712861,6,0.5844067322382412,1,tablet,social_media_ad,1
20,102384,contractor,single,127.18661069843229,5,0.8341018831853053,0,tablet,friend_referral,1
54,66830,unemployed,single,83.86098191068928,8,0.8473312243551852,0,desktop,organic_search,1
34,72446,full_time,married,107.85206662114587,9,0.6429157200466838,0,tablet,friend_referral,1
19,35160,contractor,married,63.1476371616877,4,0.755975290467946,0,tablet,friend_referral,1
19,76583,full_time,divorced,66.51603436635304,12,0.6832276544185225,0,tablet,friend_referral,1
45,53998,part_time,single,90.01011339328478,7,0.5700178118264838,1,mobile,friend_referral,1
40,47230,contractor,single,82.49110142672508,13,0.852845257120324,0,tablet,social_media_ad,1
54,29076,part_time,divorced,90.13314099851488,6,0.8216959693890435,0,mobile,social_media_ad,1
49,89341,contractor,single,106.56987724793167,11,0.9403293187439384,0,tablet,social_media_ad,1
50,51085,full_time,divorced,124.5058061169946,8,0.7708757077957616,1,mobile,social_media_ad,1
18,75571,unemployed,divorced,123.43503872946215,17,0.6332320847177175,1,tablet,social_media_ad,1
36,34715,full_time,single,108.26387473935944,6,0.8284045348616051,0,desktop,organic_search,1
19,25750,full_time,married,78.25761161875756,8,0.7714217377351853,0,desktop,friend_referral,1
61,98768,full_time,married,88.8522375740048,14,0.7699685156803808,1,desktop,social_media_ad,1
43,55903,contractor,married,112.74366650814424,13,0.9099026542169327,1,tablet,friend_referral,1
49,92489,unemployed,married,83.47766996919304,8,0.9462811232481717,1,desktop,social_media_ad,1
23,52093,part_time,single,74.6616652487229,15,0.5081449986530124,0,mobile,social_media_ad,1
49,111036,full_time,divorced,109.84634251208314,4,0.5884301345303533,0,desktop,organic_search,1
21,107954,contractor,divorced,99.03274726830985,5,0.7901834205805248,1,desktop,friend_referral,1
28,54314,part_time,single,95.78161920385755,8,0.7343327402257736,0,desktop,social_media_ad,1
34,68225,full_time,married,122.19603871304699,7,0.7913957016996755,0,desktop,social_media_ad,1
55,107985,part_time,divorced,121.7761616730072,6,0.6598087595963131,0,mobile,organic_search,1
41,103014,full_time,single,135.62235981478608,7,0.6474634082296298,0,desktop,friend_referral,1
22,55179,part_time,single,86.97176419987174,9,0.4705923431558406,1,tablet,friend_referral,1
51,45338,part_time,married,108.59467161780175,13,0.7741889440627185,0,desktop,social_media_ad,1
23,112435,unemployed,single,100.38016941114702,13,0.5054713915389765,0,tablet,organic_search,1
39,89681,unemployed,divorced,106.76631663490697,14,0.8026129573827832,1,tablet,organic_search,1
28,52101,full_time,divorced,77.31237648430186,12,0.9802433459379887,0,desktop,social_media_ad,1
65,22775,contractor,single,71.95053331129576,17,0.5538476964857773,0,desktop,friend_referral,1
33,117183,unemployed,divorced,99.19567727542396,8,0.4852913832097629,0,tablet,social_media_ad,1
50,65619,part_time,single,83.1497482005181,13,0.4145051471685602,1,mobile,friend_referral,1
26,65838,unemployed,divorced,118.76415241102575,11,0.6272963118072035,0,mobile,organic_search,1
23,39539,unemployed,married,69.986452652828,11,0.5287666353141359,1,desktop,social_media_ad,1
33,77124,full_time,divorced,71.6359822550744,11,0.6951156538863617,0,mobile,social_media_ad,1
46,85149,unemployed,married,91.66675049502287,10,0.7145836167956503,0,mobile,social_media_ad,1
20,46616,unemployed,married,69.2384998813418,10,0.609596646626261,1,desktop,friend_referral,1
37,99655,part_time,single,133.52006264194657,8,0.8499437333668856,1,tablet,friend_referral,1
53,110695,unemployed,married,96.34165252127416,6,0.9428840024273295,0,tablet,organic_search,0
36,74567,part_time,divorced,87.94398589271947,10,0.5269138586759644,1,mobile,friend_referral,1
43,57099,unemployed,divorced,109.35928051252641,6,0.9017786640436759,0,tablet,friend_referral,1
20,95831,unemployed,married,117.67697072041486,8,0.47871273985322693,1,desktop,social_media_ad,1
36,81799,contractor,single,104.13917802168572,17,0.5372213107260984,1,mobile,organic_search,1
37,110221,unemployed,married,98.63817014215874,6,0.7368494117402713,0,tablet,organic_search,1
49,45479,part_time,divorced,80.33054150591738,9,0.5839488932533663,0,mobile,social_media_ad,1
24,66172,part_time,divorced,112.61818637842438,6,0.4250264743533076,1,tablet,friend_referral,1
58,119165,full_time,married,128.33406180372393,10,0.5769232850258713,1,mobile,friend_referral,1
50,75863,full_time,married,95.60560490265418,9,0.9429221131581417,0,tablet,social_media_ad,1
57,62043,contractor,married,83.02428999377958,7,0.5045338971530927,0,tablet,social_media_ad,1
56,102569,part_time,divorced,103.62991535001389,15,0.8582505279056656,1,desktop,friend_referral,1
35,35408,part_time,divorced,100.0529978800111,9,0.8333692036026887,1,desktop,organic_search,1
57,77980,part_time,divorced,75.67295234851919,12,0.46373488963854526,1,desktop,social_media_ad,1
18,102956,contractor,single,89.94622601584076,8,0.59766577875032,1,mobile,friend_referral,1
28,36351,part_time,divorced,135.76971535956525,14,0.513613773483226,0,mobile,social_media_ad,0
45,24131,full_time,divorced,73.04890265781808,12,0.4138901087159627,1,mobile,organic_search,1
42,64825,contractor,single,86.18759293151143,12,0.5038244051415378,0,tablet,organic_search,1
40,31349,full_time,single,81.02573250952474,10,0.5209467649802374,1,tablet,friend_referral,1
48,80931,full_time,single,82.79400315616772,8,0.4995881483826571,0,tablet,organic_search,0
47,64254,contractor,single,91.09047211680962,9,0.4546583256623922,0,mobile,social_media_ad,1
59,58225,unemployed,single,108.96764202922519,9,0.7157830793327804,1,desktop,organic_search,1
52,32453,unemployed,single,126.17125061242263,8,0.5935834250216838,1,mobile,friend_referral,1
24,38814,full_time,married,104.06643187856633,6,0.9449496168448717,1,mobile,social_media_ad,1
33,38263,unemployed,married,86.3123635767293,6,0.5123280808116624,0,desktop,organic_search,1
43,97694,part_time,married,130.7983029178065,6,0.7617175780578678,0,desktop,organic_search,1
65,35735,contractor,married,58.628729579916595,13,0.9403722305593855,1,mobile,organic_search,1
19,35830,full_time,divorced,113.46956305624315,11,0.4283137906395298,0,tablet,friend_referral,1
18,67893,part_time,single,79.46482761942407,8,0.709766482563384,1,tablet,friend_referral,1
65,64673,unemployed,divorced,98.98153645072605,6,0.6704012875187122,1,desktop,organic_search,1
29,109462,part_time,single,111.2619985510145,9,0.9572671648464454,1,mobile,social_media_ad,1
22,65066,unemployed,single,67.89247780567038,10,0.7982588637246171,0,tablet,organic_search,1
54,23373,full_time,divorced,102.83307636502036,12,0.6094968459712263,1,tablet,social_media_ad,1
49,30335,part_time,married,104.36954135827055,5,0.8269127311048893,0,desktop,social_media_ad,1
26,43741,contractor,divorced,129.2467536432672,9,0.7495924124283104,0,mobile,friend_referral,1
58,30692,full_time,divorced,154.30298634445035,7,0.6083019388208828,0,desktop,organic_search,1
52,67295,part_time,single,68.94060388524892,11,0.8711492067012329,1,mobile,friend_referral,1
36,65541,part_time,single,128.34307367665068,9,0.8009018558838186,0,mobile,organic_search,0
65,54057,unemployed,single,99.24239531720475,7,0.40324977900548187,1,mobile,social_media_ad,1
33,86983,full_time,married,83.82857521735804,7,0.9190807636065926,0,mobile,friend_referral,1
20,39583,full_time,divorced,107.38106340510336,11,0.6382551293326783,0,mobile,friend_referral,1
37,42765,full_time,divorced,73.95417208627356,18,0.7872685603523927,0,mobile,friend_referral,1
41,79287,full_time,married,75.14774732391945,11,0.6380609925831511,1,tablet,social_media_ad,1
50,43906,unemployed,divorced,65.29682723536826,5,0.9288172265403402,0,tablet,friend_referral,1
41,105103,contractor,divorced,110.92178020246459,6,0.7905012677134097,1,tablet,organic_search,1
28,99675,full_time,single,106.54023650038624,5,0.7476317254601739,0,tablet,organic_search,1
25,66525,unemployed,married,83.71232609879233,11,0.9881588500615287,0,mobile,social_media_ad,1
53,58230,contractor,single,130.47203627383294,5,0.5683843120363906,0,tablet,friend_referral,1
55,39520,contractor,married,86.74088620330397,3,0.4391525743669747,0,mobile,organic_search,1
57,105238,unemployed,single,125.65979188291145,7,0.7096062597436867,0,desktop,friend_referral,1
37,71934,full_time,divorced,102.44161754067082,12,0.6544107002895637,1,desktop,organic_search,1
52,45566,contractor,married,86.47263353977407,11,0.672574029446227,0,tablet,social_media_ad,1
65,93193,full_time,married,97.70037193503525,9,0.7720629029714406,0,mobile,organic_search,1
42,50134,full_time,single,74.92514922207619,9,0.7690729819623036,0,tablet,organic_search,1
52,30345,part_time,married,104.33466726088542,10,0.6353585759989187,1,mobile,organic_search,1
42,61185,full_time,divorced,100.61100158727423,6,0.9177262143775329,0,tablet,social_media_ad,1
46,112949,part_time,divorced,110.548949222342,14,0.7908751056922994,0,desktop,organic_search,1
35,90744,contractor,divorced,117.58304786169477,12,0.9339470074652008,1,desktop,social_media_ad,1
63,53455,unemployed,single,102.31231553706411,12,0.9478923430614674,0,tablet,social_media_ad,1
35,48018,part_time,married,70.47356690445075,8,0.5003872455165126,0,tablet,organic_search,1
19,74219,unemployed,single,118.64726664946096,5,0.8083371243346362,1,mobile,friend_referral,0
52,65991,contractor,divorced,100.29327933559331,14,0.5905071183025856,0,desktop,organic_search,1
33,93616,full_time,married,62.11874777873249,5,0.9018574327290875,0,tablet,social_media_ad,1
58,107438,contractor,divorced,106.19229607929277,15,0.8397109477933031,1,mobile,friend_referral,0
53,29486,unemployed,married,107.70247947816573,7,0.5192486125155118,0,desktop,organic_search,0
50,58862,contractor,married,92.83040718139348,8,0.9632384599019324,0,mobile,organic_search,1
21,78870,full_time,single,96.04326286325767,12,0.8100874041954541,1,desktop,organic_search,1
50,106694,contractor,married,88.09469777206591,15,0.9691798619425489,0,desktop,organic_search,1
